# Amal's vocabulary Doc (docs/data/words.json) - english | her arabizi | arabic | key
i break | Ana bakser | أنا بكسر | ana bakser
i break down / go bad (food: bye5rab = it spoils) | Ana ba5rab | أنا بخرب | ana ba5rab
i bring | Ana bajeeb | أنا بجيب | ana bajIb
i bring good luck to you | Wejhi 7ilu 3alaik | وجهي حلو عليك | wejhi 7ilu 3alaik
i brought | jebet | جبت | jebet
i buy | Ana bashteri | أنا بشتري | ana bashteri
i call | Ana barenn (3ala) | أنا بتصل أنا برن | ana baren 3ala
i came | Ana ajeet | أنا جيت | ana ajIt
i can | Ana baqdar | أنا بقدر | ana ba2dar
i carried | Ana 7amalet | أنا حملت | ana 7amalet
i carry | Ana ba7mel | أنا بحمل | ana ba7mel
i cause happiness | Ana babse6 | أنا ببسط | ana babse6
i change | Ana ba8ayyer | أنا بغير | ana ba8aiyer
i change | Ba8ayyer | بغير | ba8aiyer
i change scenery / i get a change of atmosphere | Ba8ayyer jaw | بغير جو | ba8aiyer jaw
i changed | Ana 8ayyaret | أنا غيرت | ana 8aiyaret
i cheat | Ba8osh | بغش | ba8osh
i cheated | Ana 8ashshait | أنا غشيت | ana 8ashait
i choose | Ana ba5taar | أنا بختار | ana ba5tAr
i clean | Ana banaddef | أنا بنضف | ana banadef
i cleaned | Ana naddafet | أنا نظفت | ana nadafet
i close | Ana basakker | أنا بسكر | ana basaker
i closed | Ana sakkeret | أنا سكرت | ana sakeret
i come | Ana baaji | أنا باجي | ana bAji
i complain | Ana bashki (min) | أنا بشكي | ana bashki min
i complained | Ana shakait | أنا شكيت | ana shakait
i cook | Ana Batbu5 | أنا بطبخ | ana batbu5
i could / was able to | Ana 2deret | أنا قدرت | ana 2deret
i cut | Ana 2assait | أنا قصيت | ana 2asait
i cut | Ana Baquss | أنا بقص | ana ba2us
i did/made | Ana 3melet | أنا عملت | ana 3melet
i didn’t mean it / it wasn’t my intention | Mish azdi | مش قصدي | mish azdi
i do | Ana basawwi | أنا بسوي | ana basawi
i do/make | Ana ba3mal | أنا بعمل | ana ba3mal
i drank | Ana shrebet | أنا شربت | ana shrebet
i drank | Shrebet | شربت | shrebet
i draw | Ana barsem | أنا برسم | ana barsem
i drew | Ana rasamet | أنا رسمت | ana rasamet
i drink | Ana Bashrab | أنا بشرب | ana bashrab
i drive | Ana bassoq | أنا بسوق | ana baso2
i drove | su2et | سقت | su2et
i eat | Ana bakul | أنا باكل | ana bakul
i embarrass | Ana ba7rej | أنا بحرج | ana ba7rej
i excite (someone) | Ana ba7ammes | أنا بحمس | ana ba7ames
i exercise | Ana batmarran | أنا بتمرن | ana batmaran
i exercised | Ana tmarranet | أنا تمرنت | ana tmaranet
i explain (to) | Ana bashra7 (la) | أنا بشرح | ana bashra7 la
i explained | Ana shara7et | أنا شرحت | ana shara7et
i feel | Ana ba7ess | أنا بحس | ana ba7es
i feel like / in the mood for | Jaay 3abaali | جاي عبالي | jAi 3abAli
i feel like / in the mood for | Jaay 3ala bali | جاي على بالي | jAi 3ala bali
i felt | Ana 7assait | أنا حسيت | ana 7asait
i fight | Ana baqaatel | أنا بقاتل | ana ba2
i find | Ana balaaqi | أنا بلاقي | ana balA2i
i finish / i be done | Ana ba5alles | أنا بخلص | ana ba5ales
i finished | Ana 5allaset | أنا خلصت | ana 5alaset
i fly | Ana ba6eer | أنا بطير | ana ba6Ir
i fly | Ba6eer | بطير | ba6Ir
i forget | Ana bansa | أنا بنسى | ana bansa
i forgot | Ana nseet | أنا نسيت | ana nsIt
i fought | 2atalet | قاتلت | 2atalet
i found | Ana la2ait | أنا لقيت | ana la2ait
i fried | Ana 2lait | أنا قليت | ana 2lait
i fry | Ana Ba2li | أنا بقلي | ana ba2li
i gave | Ana 3atait | أنا عطيت | ana 3atait
i get angry / make someone angry / i get angry / cause angriness | Ana ba3asseb | بعصِّب | ana ba3aseb
i get annoyed | Ana banze3ej | أنا بنزعج | ana banze3ej
i get bored | Ana bazha2 | بزهق | ana bazha2
i get changed | Ana bat8ayyar | أنا بتغير | ana bat8aiyar
i get embarrassed | Ana ban7erej | أنا بنحرج | ana ban7erej
i get excited | Ana bat7ammas | أنا بتحمس | ana bat7amas
i get happy | Ana banbese6 | أنا بنبسط | ana banbese6
i get happy / enjoy myself | Banbese6 | بنبسط | banbese6
i get hurt | Ana batwajja3 | أنا بتوجع | ana batwaja3
i get ready | Ana bajahhez 7aali | أنا بجهز حالي | ana bajahez 7Ali
i get ready | Ana bajhaz | بجهز | ana bajhaz
i get sad / upset / i get sad/upset | Ana baz3al | بزعَل | ana baz3al
i get scared / i am afraid | Ana ba5aaf | بخاف | ana ba5Af
i get some fresh air | Bashemm hawa | بشم هوا | bashem hawa
i get tired | Ana bat3ab | بتعب | ana bat3ab
i get upset | Ana batdaaya2 | أنا بتدايق | ana batdAya2
i give | Ana ba3ti | أنا بعطي | ana ba3ti
i go | Ana baru7 | أنا بروح | ana baru7
i go home | Ana barawwe7 | أنا بروح | ana barawe7
i go out | Ba6la3 | بطلع | ba6la3
i go out / up | Ana ba6la3 | أنا بطلع | ana ba6la3
i had | kaan 3indi | كان عندي | kAn 3indi
i hate | Ana bakrahh | أنا بكره | ana bakrah
i hated | Ana krehet | أنا كرهت | ana krehet
i have | Ana 3endi | أنا عندي | ana 3endi
i have something memorized / know it by heart | Ana 7aafez | أنا حافظ | ana 7Afez
i held | Ana masaket | أنا مسكت | ana masaket
i help | Ana basaa3ed | أنا بساعد | ana basA3ed
i hold | Ana bamsek | أنا بمسك | ana bamsek
i hurried | Ana sta3jalet | أنا استعجلت | ana sta3jalet
i hurry | Ana basta3jel | أنا بستعجل | ana basta3jel
i hurt | Ana bawajje3 | أنا بوجع | ana bawaje3
i hurt | Ana wajja3et | أنا وجعت | ana waja3et
i invite (to) | Ana ba3zem (3ala) | أنا بعزم | ana ba3zem 3ala
i invited | Ana 3azamet | أنا عزمت | ana 3azamet
i knew | Ana 3refet | أنا عرفت | ana 3refet
i know | Ana ba3raf | أنا بعرف | ana ba3raf
i laugh / i smile / laugh | Ana bad7ak | بضحك | ana bad7ak
i laughed/smiled | Ana d7eket | أنا ضحكت | ana d7eket
i learn | Ana bat3allam | أنا بتعلم | ana bat3alam
i learned | Ana t3allamet | أنا تعلمت | ana t3alamet
i left/let | Ana 5allait | أنا خليت | ana 5alait
i let | Ana ba5alli | أنا بخلّي | ana ba5ali
i lie | Ana bakazzeb | أنا بكزب | ana bakazeb
i lied | Ana kazzabet | أنا كذبت | ana kazabet
i like | Ana ba7eb | أنا بحب | ana ba7eb
i liked | Ana 7abbait | أنا حبيت | ana 7abait
i listen | Ana basma3 | أنا بسمع | ana basma3
i listened | Ana sme3et | أنا سمعت | ana sme3et
i live in... (female) | ana saknah fi... | أنا ساكنة في... | ana saknah fi
i live in... (male) | ana saken fi... | أنا ساكن في... | ana saken fi
i look (at) | Ana bat6alla3 (3ala) | أنا بطَّلَّع (على) | ana bat6ala3 3ala
i made someone bored | Ana zahha2et | أنا زهقت | ana zaha2et
i made someone crazy | Ana jannanet | أنا جننت | ana jananet
i made someone laugh | Ana da77aket6 | أنا ضحكت | ana da7aket6
i make people laugh / i’m funny / make someone laugh | Ana bada77ek | بضحِّك | ana bada7ek
i make someone crazy / amazing | Ana bajannen | أنا بجنن | ana bajanen
i make someone sad / upset / i upset someone | Ana baza33el | بزعِّل | ana baza3el
i matter | Ana bahemm | أنا بهم | ana bahem
i matter | Bahemm | بهم | bahem
i mean / what i mean is… | Azdi | قصدي | azdi
i mean... / like / so | Ya3ni | يعني | ya3ni
i meet | Ana balte2i | أنا بلتقي | ana balte2
i memorize | Ana ba7faz | أنا بحفظ | ana ba7faz
i met up | Ana lta2ayt | أنا التقيت | ana lta2ait
i miss | Ana bashtaa2 | أنا بشتاق | ana bashtA2
i miss | Bashtaa2 | بشتاق | bashtA2
i missed you (to a female) | Shta2etlek | شتقتلك | shta2etlek
i move | Ana ba7arrek | أنا بحرك | ana ba7arek
i moved | Ana 7arraket | أنا حركت | ana 7araket
i need | Ana ba7taaj | أنا بحتاج | ana ba7tAj
i needed | 7tajet | احتجت | 7tajet
i never go | Ana abadan ma baru7 | أنا أبدا ما بروح | ana abadan ma baru7
i open | Ana bafta7 | أنا بفتح | ana bafta7
i opened | Ana fata7et | أنا فتحت | ana fata7et
i order/request/ask for | Ana ba6lub (min) | أنا بطلب | ana ba6lub min
i ordered | Ana 6alabet | أنا طلبت | ana 6alabet
i organized | Ana rattabet | أنا رتبت | ana ratabet
i paid attention | Ana ntabahet | أنا انتبهت | ana ntabahet
i paid/pushed | Ana dafa3et | أنا دفعت | ana dafa3et
i pay | Ana badfa3 (la-) | أنا بدفع | ana badfa3 la
i pay attention | Ana bantebeh | أنا بنتبه | ana bantebeh
i plan | Ana ba5a66et | أنا بخطط | ana ba5a6et
i planned | Ana 5a66atet | أنا خططت | ana 5a6atet
i play | Ana bal3ab | أنا بلعب | ana bal3ab
i played | Ana l3ebet | أنا لعبت | ana l3ebet
i practice | Ana batdarrab | أنا بتدرب | ana batdarab
i practiced | Ana tdarrabet | أنا تدربت | ana tdarabet
i prefer | Ana bafaddel | أنا بفضل | ana bafadel
i prefer / favor | Bafaddel | بفضل | bafadel
i preferred | Ana faddalet | أنا فضلت | ana fadalet
i prepare / make something or someone ready | Ana bajahhez | بجهِّز | ana bajahez
i prepared | Ana jahhazet | أنا جهزت | ana jahazet
i push | Ana badfa3 | أنا بدفع | ana badfa3
i put | Ana 7attait | أنا حطيت | ana 7atait
i put | Ana ba7ut | أنا بحط | ana ba7ut
i ran | Ana rakadet | أنا ركضت | ana rakadet
i rang/called | Ana rannait | أنا رنيت | ana ranait
i read | Ana baqra2 | أنا بقرأ | ana ba2ra2
i read | Ana qara2et | أنا قرأت | ana 2ara2et
i relax | Ana bartaa7 | أنا برتاح | ana bartA7
i relaxed | rta7et | ارتحت | rta7et
i remember | Ana batzakkar | أنا بتذكر | ana batzakar
i remembered | Ana tzakkaret | أنا تذكرت | ana tzakaret
i remind | Ana bazakker | أنا بذكر | ana bazaker
i remove / take away | Ana ba2eem | أنا بقيم | ana ba2Im
i remove / take away | Ba2eem | بقيم | ba2Im
i respond/answer | Ana barudd (3ala) | أنا برد | ana barud 3ala
i review | Ana baraaje3 | أنا براجع | ana barAje3
i ruin / break (something) | Ana ba5arreb | أنا بخرّب | ana ba5areb
i run | Ana barkod | أنا بركض | ana barkod
i said | Ana 2ulet | أنا قلت | ana 2ulet
i sang | Ana 8annait | أنا غنيت | ana 8anait
i sat | Ana 2a3adet | أنا قعدت | ana 2a3adet
i saw | shufet | شفت | shufet
i say / tell | Ana ba2ul | أنا بقول | ana ba2~2
i scare / make people scared / i scare (someone) | Ana ba5awwef | بخوِّف | ana ba5awef
i scratch | Ana ba7ukk | أنا بحك | ana ba7uk
i scratched | Ana 7akkait | أنا حكيت | ana 7akait~scratch
i see | Ana bashuf | أنا بشوف | ana bashuf
i sell | Ana babee3 | أنا ببيع | ana babI3
i send | Ana bab3at (la-) | أنا ببعت | ana bab3at la
i sent | Ana ba3atet | أنا بعتت | ana ba3atet
i show | Ana bafarji | أنا بفرجي | ana bafarji
i showed | Ana farjait | أنا فرجيت | ana farjait
i shower | Ana bat7ammam | أنا بتحمم | ana bat7amam
i sing | Ana ba8anni | أنا بغني | ana ba8ani
i sit | Ana baq3ud | أنا بقعد | ana ba23ud
i sleep | Ana banaam | أنا بنام | ana banAm
i slept | Ana nemet | أنا نمت | ana nemet
i smell | Ana bashemm | أنا بشم | ana bashem
i smelled | Ana shammait | أنا شميت | ana shamait
i sold | be3et | بعت | be3et
i speak | Ana ba7ki | أنا بحكي | ana ba7ki
i spend time | Ana ba2addi wa2et | أنا بقضي وقت | ana ba2adi wa2et
i spent (time) | Ana 2addait | أنا قضيت | ana 2adait
i start | Ana baballesh | أنا ببلش | ana babalesh
i start | Ana babda | أنا ببدا | ana babda
i started | Ana ballashet | أنا بلشت | ana balashet
i stay / i keep on | Ana badall | أنا بضل | ana badal
i stayed/kept | Ana dallait | أنا ضليت | ana dalait
i stop | Ana bawaqqef | أنا بوقف | ana bawa2ef
i stopped | Ana wa22afet | أنا وقفت | ana wa2afet
i studied | Ana daraset | أنا درست | ana daraset
i study / i study... | ana badrus | أنا بدرس | ana badrus
i suppose/assume/believe | Ana bathonn | أنا بظن | ana bason
i swim | Ana basba7 | أنا بسبح | ana basba7
i take | Ana ba5ud | أنا باخد | ana ba5ud
i take a photo (photograph) | Ana basawwer | أنا بصور | ana basawer
i take a photo (photograph) | Basawwer | بصور | basawer
i take care of | Ana badir baali | أنا بدير بالي | ana badir bAli
i talked | Ana 7akait | أنا حكيت | ana 7akait
i taught | Ana 3allamet | أنا علمت | ana 3alamet
i teach | Ana ba3allem | أنا بعلم | ana ba3alem
i think | Ana bafakker | أنا بفكر | ana bafaker
i thought/assumed | Ana zannait | أنا ظنيت | ana zanait
i tidy/organize/arrange | Ana baratteb | أنا برتب | ana barateb
i tire / make people tired / i cause tiredness / tire | Ana bata33eb | بتعِّب | ana bata3eb
i took | Ana a5adet | أنا أخذت | ana a5adet
i translate | Ana batarjem | أنا بترجم | ana batarjem
i translated | Ana tarjamet | أنا ترجمت | ana tarjamet
i travel | Ana basaafer | أنا بسافر | ana basAfer
i travel | Basaafer | بسافر | basAfer
i turn | Ana baleff | أنا بلف | ana balef
i turn off | Ana ba6fi | أنا بطفي | ana ba6fi
i turn on | Ana badwi | أنا بضوي | ana badwi
i turned off | Ana 6afait | أنا طفيت | ana 6afait
i turned on | Ana dawait | أنا ضويت | ana dawait
i understand | Ana bafham | أنا بفهم | ana bafham
i understood | Ana fhemet | أنا فهمت | ana fhemet
i undress | Ana bashla7 | أنا بشلح | ana bashla7
i undress | Bashla7 | بشلح | bashla7
i undressed | Ana shala7et | أنا شلحت | ana shala7et
i upset someone | Ana badaaye2 | أنا بدايق | ana badAye2
i use | Ana basta5dem | أنا بسخدم | ana basta5dem
i used | Ana sta3malet | أنا استعملت | ana sta3malet
i visit | Ana bazoor | أنا بزور | ana bazUr
i visit | Bazoor | بزور | bazUr
i wait | Ana bastanna | أنا بستنى | ana bastana
i waited | Ana stannait | أنا استنيت | ana stanait
i wake up | Ana bas7a | أنا بصحى | ana bas7a
i walk | Ana bamshi | أنا بمشي | ana bamshi
i walked | Ana mashait | أنا مشيت | ana mashait
i want | Ana beddi | أنا بدي | ana bedi
i wanted | kaan biddi | كان بدي | kAn
i was | kunet | كنت | kunet
i wash | Ana ba8assel | أنا بغسل | ana ba8asel
i wash dishes | Ana Bajli | أنا بجلي | ana bajli
i washed | Ana 8assalet | أنا غسلت | ana 8asalet
i washed dishes | Ana jalait | أنا جليت | ana jalait
i watch | Ana ba7dar | أنا بحضر | ana ba7dar
i watched | Ana 7deret | أنا حضرت | ana 7deret
i wear / i'm putting on | Balbes | بلبس | balbes
i wear / put on | Ana balbes | أنا بلبس | ana balbes
i went | ru7et | رحت | ru7et
i went out/up | Ana 6le3et | أنا طلعت | ana 6le3et
i woke up | Ana s7eet | أنا صحيت | ana s7It
i wore | Ana lbeset | أنا لبست | ana lbeset
i work / i work... | ana bashteghel | أنا بشتغل | ana bashte8el
i work out | Ana bazbut | أنا بزبط | ana bazbut
i worked | Ana shta8alet | أنا اشتغلت | ana shta8alet
i worried | Ana 2le2et | أنا قلقت | ana 2le2et
i worry | Ana ba2la2 | أنا بقلق | ana ba2la2
i write | Ana baktub | أنا بكتب | ana baktub
i wrote | Ana katabet | أنا كتبت | ana katabet
i'm from... | ana men... | أنا من... | ana men
i'm late / i'll be late | Bat2a55ar | بتأخر | bat2a5ar
i'm ok / fine | ana tamam | أنا تمام | ana tamam
i'm... / my age is 39 | Ana 'omri tes'ah u talateen | أنا عمري تسعة و تلاتين | ana 2omri tes2ah u talatIn
ice cream | Buzah | بوظة | buzah
if | Iza | إذا | iza
important | Muhem | مهم | muhem
in / there is | Fi | في | fi
in a bit / after a bit | ba3ed shwai | بعد شوي | ba3ed shwai
in a hurry / rushed | Mista3jel | مستعجل | mista3jel
in a little while / a bit more | Kamaan Shwai | كمان شوي | kamAn shwai
in front of | Quddaam | قدام | 2udAm
in my opinion / i think | Bira2yi | برأيي | bira2yi
in my opinion, the chicken isn’t good / i think the chicken isn’t tasty | Bra2yi el-jaaj mish zaaki | برأيي الجاج مش زاكي | bra2yi aljAj mish zAki
in pain / hurt (physical) | Mawjoo3 | موجوع | mawjU3
in the middle of | Bilnoss | بالنص | bilnos
in/inside/at | Bi | بِ | bi
insect | 7ashara | حشرة | 7ashara
inside | Juwwa | جوا | juwa
intention / meaning | Qaṣd | قصد | 2asd
intentionally / on purpose | Bel2asd | بالقصد | bel2asd
invite | E3zem | عزّم | e3zem
iranian | Irani | إيراني | irani
it / him (object: biddna iyyah = we want it) | Iyyah | إياه | Iyah
it causes happiness / makes someone happy | Byebse6 | بيبسط | byebse6
it depends | 7asab | حسب | 7asab
it itches / scratches | Huwwe bey7uk | هو بيحك | huwe bei7uk
it matters | Beyhemm | بيهم | beihem
it matters to me | Beyhemmni | بيهمني | beihemni
it works out / is permissible | Byezbut | بيزبط | byezbut
it's 1:02 | Elsaa3a wa7de u d2ee2tain | الساعة وحدة ودقيقتين | alsA3a wa7de u d2I2tain
it's 2:01 | Elsa3a tentain u d2ee2a | الساعة تنتين ودقيقة | elsa3a tentain u d2I2a
it's 3:03 | elsa3a talaate u talate | الساعة ثلاثة وثلاثة | elsa3a talAte u talate
it's 4:15 (quarter past four) | Elsaa3a arba3a u rube3 | الساعة أربعة وربع | alsA3a arba3a u rube3
it's 5:30 (half past five) | Elsaa3a 5amse u noss | الساعة خمسة ونص | alsA3a 5amse u nos
it's 8:45 (quarter to nine) | Elsaa3a tes3a ella rube3 | الساعة تسعة إلا ربع | alsA3a tes3a ela rube3
it's boiling hot | El-denia naar | الدنيا نار | aldenia nAr
it's cloudy | M8ayyme | مغيمة | m8aIme
it's hot | El-jaw shoab | الجو شوب | aljaw
it's night time | El-denia lail | الدنيا ليل | aldenia lail
it's not the end of the world | Mish 2aa5er el-denia | مش آخر الدنيا | mish 2A5er aldenia
it's raining | Betma66er | بتمطر | betma6er
it's snowing | Bettallej | بتتلج | betalej
it's stormy | El-denia 3awaasef | الدنيا عواصف | aldenia 3awAsef
it's sunny | El-denia shames | الدنيا شمس | aldenia shames
it's windy | El-denia hawa | الدنيا هوا | aldenia hawa
itchy | Bey7uk | بيحك | bei7uk
it’s 3:20 | Elsaa3a talaate u tult | الساعة 3لا3ة وثلث | alsA3a talAte u tult
it’s fine / don’t worry about it / never mind | Ma3lesh | معلش | ma3lesh
i’m make someone entertained / fun | Ana basalli | أنا بسلّي | ana basali
jacket | Jakait | جاكيت | jakait
jam | Ta6li | طاطلي | ta6li
juice | 3a9ir | عصير | 3a9ir
kettle | Bri2 | بريق | bri2
key | Muftaa7 | مفتاح | muftA7
kind | Lateef | لطيف | latIf
kitchen | Matba5 | مطبخ | matba5
knee | Rukbe | ركبة | rukbe
knife | Sekkeena | سكينة | sekIna
know | E3ref | اعرف | e3ref
korean | Koari | كوري | koari
lake | Bu7ayra | بحيرة | bu7aira
lamb | La7em 5aruf | لحم خروف | la7em 5aruf
lame | Baaye5 | بايخ | bAye5
lame / cringy (heavy-blooded) | T2eel dam | ثقيل دم | t2Il dam
last / the end of | 2aa5er | آخر | 2A5er
last thing | 2aa5er eshi | آخر اشي | 2A5er eshi
late | Met2a55ar | متأخر | met2a5ar
later / then | Ba3dain | بعدين | ba3dain
latus | 5ass | خس | 5as
laundry (mass noun) | 8asil | غسيل | 8asil
lawyer | Mu7aami | محامي | mu7Ami
lazy | Kasool | كسول | kasUl
leaf / paper / sheet | Waraqa | ورقة | wara2a
learn | et3allam | تعلّم | et3alam
left | Shmaal | شمال | shmAl
leg / foot | Ejer (F) | إجر | ejer f
legs / feet (dual/plural) | Ejrain | إجرين | ejrain
lemon | Laimoon | ليمون | laimUn
lemon | Laimun | ليمون | laimun
lentil | 3adas | عدس | 3adas
less | A2al | أقل | a2al
lesson | Dars | درس | dars
let | 5alli | خلّي | 5ali
letter – letters / preposition | 7arf | حرف | 7arf
liar | kazzaab | كذاب | kazAb
lie | Ekzeb | اكذب | ekzeb
light | 5afeef | خفيف | 5afIf
light | Dawwu | ضو | dawu
light (color) | Faate7 | فاتح | fAte7
lightning | Barq | برق | bar2
like | 7ebb | حب | 7eb
like | zayy | زي | zaI
like this / this way | Heik | هيك | heik
listen | Isma3 | اسمع | isma3
living room | Saala | صالة | sAla
location | Mawqe3 | موقع | maw2e3
look | et6alla3 | اتطلع | et6ala3
loud/high volume | Soat 3aali | صوت عالي | soat 3Ali
low | Waati | واطي | wAti
low volume | Soat wa6i | صوت واطي | soat wa6i
lucky | Ma7zooz | محظوظ | ma7zUz
lunch | 8ada | غدا | 8ada
lying | El-kezeb | الكذب | alkezeb
make / do | E3mel | اعمل | e3mel
make someone laugh | Da77k | ضحّك | da7k
mall | Mall | مول | mal
man | Zalameh | زلمة | zalameh
manager / director | Mudeer | مدير | mudIr
may you be well every year (birthday/holiday) (f) | kul 'am u enti bkheir | كل عام و انت بخير | kul 2am u enti b5eir
may you be well every year (birthday/holiday) (m) | kul 'am u enta bkheir | كل عام و انت بخير | kul 2am u enta b5eir
maybe / might / may / maybe / might / may / possible | Mumken | ممكن | mumken
mean / malicious | La2eem | لئيم | la2Im
meaning – meanings | Ma3na | معنى | ma3na
meat | La7meh | لحمة | la7meh
meeting | Ijtemaa3 | اجتماع | ijtemA3
message / letter | Risaale | رسالة | risAle
midnight | nus el-lail | نص الليل | nus alail
milk | 7alib | حليب | 7alib
mind / brain | 3aqel | عقل | 3a2el
minute (2 mins/minutes) | Daqeeqa | دقيقة (دقيقتين | da2I2a
mirror | Mraayeh | مراية | mrAyeh
missing / longing | mishtaaq la | مشتااق لَ | mishtA2
monday | Yoam el-etnain | يوم الاثنين | yoam aletnain
money (plural) | Ma9aari | مصاري | ma9Ari
monkey | 2erd | قرد | 2erd
month (2 months/months) | shahar | شهر (شهرين | shahar
moon | Qamar | قمر | 2amar
more | Aktar | أكتر | aktar
morning | el-sube7 | الصبح | alsube7
mosquito | His-hise | هسهسة | his hise
mosquito (general) | His-his | بعوضة | his his
most | a8lab | أغلب | a8lab
mother | Em | أم | em
motivation | Daafe3 | دافع | dAfe3
mountain | Jabal | جبل | jabal
mouse | Faar | فار | fAr
mouth | Tomm | تم | tom
move (something) | 7arrek | حرّك | 7arek
mr. / sir | Sayyed | سيد | saiyed
mushroom | Fiter | فطر | fiter
mustard | 5ardal | خردل | 5ardal
my name is... | ana esmi... | أنا اسمي... | ana esmi
my thing / my kind of scene | Jawwi | جوي | jawi
na'iman response (f) | Allah yen'am 'aleiki | الله ينعم عليكي | alah yen2am 2aleiki
na'iman response (male) | Allah yen'am 'aleik | الله ينعم عليك | alah yen2am 2aleik
nature | 6abee3a | طبيعة | 6abI3a
neck | Raqabe | رقبة | ra2abe
neighbour | Jâar | جار | jAr
nervous / anxious | Mitwatter | متوتر | mitwater
never | Abadan | أبداً | abadan
never / not once | Wala marra | ولا مرة | wala mara
new | Jdeed | جديد | jdId
next (dual/plural) | El-jayyeen | الجايين | aljaiyIn
next (f) | El-jaaya | الجاية | aljAya
next (plural f) | El-jaayyaat | الجايات | aljAiyAt
next / the coming (m) | El-jaay | الجاي | aljAi
next to | Janb | جنب | janb
nine | tes3ah | تسعة | tes3ah
nine hours | Tese3 sa3aat | تسع ساعات | tese3 sa3At
nine hundred | tese3meyyah | تسعمية | tese3meiyah
nine tousand | tese3talaf | تسع آلاف | tese3talaf
nineteen | tese3ta3sh | تسعتاش | tese3ta3sh
nineteen eighty-six | alf u tese3meyyah u sittah u tamanin | ألف و تسعمية و ستة و تمانين | alf u tese3meiyah u sitah u tamanin
ninty | tes3in | تسعين | tes3in
ninty eight | tamanya u tes3in | تمنية و تسعين | tamanya u tes3in
no / nor | Wla | ولا | wla
no day | wala yoam | ولا يوم | wala yoam
no one | Wala 7ada | ولا حدا | wala 7ada
no problem | mesh mushkelah | مش مشكلة | mesh mushkelah
noon | el-duhur | الضهر | alduhur
normal / okay | 3aadi | عادي | 3Adi
nose | Mun5aar | منخار | mun5Ar
not delicious | Mesh zaaki | مش زاكي | mesh zAki
not good | mesh mneeh | مش منيح | mesh mnIh
not my thing / not my scene | Mish jawwi | مش جوي | mish jawi
not working properly | 5arbaan | خربان | 5arbAn
nothing | Wala eshi | ولا اشي | wala eshi
nothing | Wala shee | ولا شيء | wala shI
noun – nouns | Esem | اسم | esem
now | Halla | هلا | hala
number – numbers | Raqam | رقم | ra2am
nurse | Mummared | ممرض | mumared
ocean / sea | Ba7ar | بحر | ba7ar
off | Ma6fi | مطفي | ma6fi
office | Maktab | مكتب | maktab
oil | Zait | زيت | zait
old (object) | 2adeem | قديم | 2adIm
old man | 5ityaar | ختيار | 5ityAr
old woman | 5ityaara | ختيارة | 5ityAra
olive oil | Zait zaitun | زيت زيتون | zait zaitun
olives | Zaitun | زيتون | zaitun
on | Madwi | مضوي | madwi
on / to / at | 3ala | على | 3ala
on the road / way | 3ala el-6aree2 | على الطريق | 3ala al6arI2
one | Wa7ad | واحد | wa7ad
one (f) | Wa7de | وحدة | wa7de
one more time | Kaman marra | كمان مرة | kaman mara
one thousand | alf | ألف | alf
one time | Marra | مرة | mara~time
onion | basal | بصل | basal
only / just / enough / but / only / just | Bas | بس | bas
only / lonely | Wa7eed | وحيد | wa7Id
open | Efta7 | افتح | efta7
open | Maftoo7 | مفتوح | maftU7
opinion | Ra2ey | رأي | ra2ei
opposite (bel-3aks = on the contrary) | 3aks | عكس | 3aks
option – options | 5ayaar | خيار | 5ayAr
or | Aw | أو | aw
orange | Burtuqal | برتقال | burtu2al
orange (m/f) | Burd2aani | بردقاني | burd2Ani
orchard / garden | Bustaan | بستان | bustAn
organize | Ratteb | رتّب | rateb
organized/put together/tidy | Mrattab | مرتب | mratab
other/different/else / other / different / else | 8air | غير | 8air
ourgat | Laban | لبن | laban
outing | Mishwaar | مشوار | mishwAr
outside | Barra | برا | bara
oven | Furun | فرن | furun
owner | Saa7eb | صاحب | sA7eb~owner
oyster | Ma7ar | محار | ma7ar
pan | Ma2la | مقلى | ma2la
pants | Ban6aloan | بنطلون | ban6aloan
parents / family | Ahel | أهل | ahel
park | Muntazah | منتزه | muntazah
party | 7afle | حفلة | 7afle
passenger | Raakeb | راكب | rAkeb
past | Maadi | ماضي | mAdi
pay attention / be careful | Entebeh | انتبه | entebeh
peach | 5oa5 | خوخ | 5oa5
peanut butter | Zibdet Alfustu2 | زبدة الفستق | zibdet alfustu2
peanuts | Fustu2 | فستق | fustu2
people (plural) | Naas | ناس | nAs
pepper | Felfel | فلفل | felfel
person | Sha5s | شخص | sha5s
pharmacy | 9aidaliyya | صيدلية | 9aidalIya
photo | Soora | صورة | sUra
pillow | Ma5adda | مخدّة | ma5ada
pilot | 6ayyar | طيار | 6aiyar
pink (m/f) | Zahri | زهري | zahri
place | Makaan | مكان | makAn
plan | 5a66et | خطّط | 5a6et
plan | 5u66a | خطة | 5u6a
plants (domestic) | Zri3a | زريعة | zri3a
plants (general) | Nabaat | نبات | nabAt
plate | Sa7en | صحن | sa7en
play | El3ab | العب | el3ab
please (f) | law samahti | لو سمحتي | law samahti
please (m) | Law samaht | لو سمحت | law samaht
pleasure / nice to meet you | tsharrafna | تشرفنا | tsharafna
plum | Bar2u2 | برقوق | bar2u2
plural | Jame3 | جمع | jame3
polite | Mu2addab | مؤدب | mu2adab
pomigranet | Rumman | رمان | ruman
pool | Berke | بركة | berke
popcorn | Bushar | بوشار | bushar
pork | La7em 5anzir | لحم خنزير | la7em 5anzir
pot | Tanjara | طنجرة | tanjara
