# Amal's vocabulary Doc (docs/data/words.json) - english | her arabizi | arabic | key
car | Seyyara | سيارة | seiyara
car gas | Banzeen | بنزين | banzIn
carpet | Sijjade | سجادةة | sijade
carrots | Jazar | جزر | jazar
cat | Besse | بسة | bese
cauliflower | Zahar | زهر | zahar
celery | Krafs | كرفس | krafs
cereal | Corn Flicks | كورن فليكس | korn fliks
chair | Kursi | كرسي | kursi
change | 8ayyer | غيّر | 8aiyer
cheat | 8osh | غش | 8osh
check / bill / account | 7saab | حساب | 7sAb
cheese | Jebneh | جبنة | jebneh
cherries | Karaz | كرز | karaz
chest | Sâder | صدر | sader
chick | 9oo9 | صوص | 9U9
chicken | Jaaje | جاجة | jAje
chicken | Jaj | جاج | jaj
choose | E5tar | اختار | e5tar
city | Madeena | مدينة | madIna
clams | Sadaf ma7ar s8eir | صدف محار صغير | sadaf ma7ar s8eir
clean | Naddef | نظّف | nadef
clean | Ndeef | نضيف | ndIf
clean air | Hawa ndeef | هوا نظيف | hawa ndIf
clear sky | Sama saafye | سما صافية | sama sAfye
clever / good at something | Shaa6er | شاطر | shA6er
close | 2areeb | قريب | 2arIb
close | Sakker | سكّر | saker
closed | Msakkar | مسكر | msakar
clothes (plural) | Awaa3i | أواعي | awA3i
clothing / to wear | Lebes | لبس | lebes
cloud | 8aime | غيمة | 8aime
cockroach | Sarsoor | صرصور | sarsUr
coconut | Joz hind | جوز هند | joz hind
coffee | Ahweh | قهوة | ahweh
cold (f) | Baarda | باردة | bArda
cold (m) | Baared | بارد | bAred
cold (person) | Bardaan | بردان | bardAn
cold (person) | Sa23aan | سقعان | sa23An
cold (weather) | Bard | برد | bard
color | Loan | لون | loan
colors | Alwaan | ألوان | alwAn
come | Ta3aal | تعال | ta3Al
comfortable / relaxed | Mertaa7 | مرتاح | mertA7
comfortable / relaxed | Mirtaa7 | مرتاح | mirtA7
command – commands | Amer | أمر | amer
company | Sharika | شركة | sharika
compassionate | 7anoon | حنون | 7anUn
complain | Eshki | اشتكي | eshki
completely / fully | Kulliyyan | كليًا | kulIyan
congrats | mabruk | مبروك | mabruk
congrats response (f) | Allah ybarek fiki | الله يبارك فيك | alah ibarek fiki
congrats response (m) | Allah ybarek fik | الله يبارك فيك | alah ibarek fik
conversation practice | Mu7aadase | محادثة | mu7Adase
cook | Etbu5 | اطبخ | etbu5
cooked/done (f) | Mistwia | مستوية | mistwia
cooked/done (m) | Mistwi | مستوي | mistwi
cool / fun / cute | Ne8esh | نغش | ne8esh
corn | Durah | ذرة | durah
country | Dawle | دولة | dawle
cousin (female, maternal) | Bent 5aal | بنت خال | bent 5Al
cousin (female, paternal) | Bent 3am | بنت عم | bent 3am
cousin (male, maternal) | Eben 5aal | ابن خال | eben 5Al
cousin (male, paternal) | Eben 3am | ابن عم | eben 3am
cow | Ba2ara | بقرة | ba2ara
cows / cattle (general) | Ba2ar | بقر | ba2ar
crab | Salta3on | سلطعون | salta3on
crazy | Majnoon | مجنون | majnUn
cream | Kraima | كريمة | kraima
cucumber | 5iar | خيار | 5iar
cup | Kaasa | كاسة | kAsa
cupboard / closet | 5azaaneh | خزانة | 5azAneh
curious / nosy | Fudooli | فضولي | fudUli
customer | Zboon | زبون | zbUn
cut | 2oss | قص | 2os
dairy | Albaan | ألبان | albAn
dark (color) | 8aameq | غامق | 8Ame2
darkness | 3etme | عتمة | 3etme
dawn | el-fajer | الفجر | alfajer
day (2 days/days) | Yoam | يوم (يومين | yoam
deer | 8azaal | غزال | 8azAl
deffinitely / surely | Akeed | أكيد | akId
degree | Daraja | درجة | daraja
delicious (f) | Zaakia | زاكية | zAkia
delicious (m) | Zaaki | زاكي | zAki
dentist | Doctoar snan | دكتور سنان | doktoar snan
different (from) | mu5talef | مختلف | mu5talef
difficult | sa3b | صعب | sa3b
dinner | 3asha | عشا | 3asha
dirty | Wese5 | وسخ | wese5
dish washer | Jallaay | جلاي | jalAi
dishes (mass noun) | Jali | جلي | jali
do / make | Sawwi | سوي | sawi
do you think i should send him a message? | Bra2yak ab3atlo resaale? | برأيك أبعتله رسالة؟ | bra2yak ab3atlo resAle
do you think we should go out? | Bra2yak laazem ne6la3? | برأيك لازم نطلع؟ | bra2yak lAzem ne6la3
do you think…? / do you think we should…? | Bra2yak + verb (no b-) | برأيك + فعل | bra2yak verb no b
doctor | Doktoar | دكتور | doktoar
doctor's clinic | 3eyaada | عيادة | 3eyAda
dog | Kalb | كلب | kalb
donkey | 7maar | حمار | 7mAr
don’t let it bother you / don’t worry about it / you got it | Wala yhemmak | ولا يهمك | wala ihemak
door | Baab | باب | bAb
down / under / bottom / below | Ta7t | تحت | ta7t
draw | Ersum | ارسم | ersum
drawer | Jarrar | جرّار | jarar
dress | Fus6aan | فستان | fus6An
drink | Eshrab | اشرب | eshrab
drive | Soo2 | سوق | sU2
drive someone crazy | Jannin | جنّن | janin
driver | Sawwaa2 | سواق | sawA2
dry | Naashef | ناشف | nAshef
each other | Ba3ad | بعض | ba3ad
ear | Daan (F) | دان | dAn f
early | Badri | بدري | badri
easy | Sahel | سهل | sahel
easy / minor / easily fixable / no worries | Basee6a | بسيطة | basI6a
eat | Kul | كل | kul~eat
eggplant | Baitenjan | باذنجان | baitenjan
eggs | baid | بيض | baid
eid vibes / eid atmosphere | Ajwaa2 el-3eed | أجواء العيد | ajwA2 al3Id
eight | Tamanyah | تمنية | tamanyah
eight hundred | tamenmeyyah | تمنمية | tamenmeiyah
eight minutes | Tamen da2aaye2 | تمن دقايق | tamen da2Aye2
eight thousand | tamentalaf | تمن آلاف | tamentalaf
eighteen | tamanta3sh | تمنتاش | tamanta3sh
eighty | tamanin | تمانين | tamanin
eighty-nine | tes3a u tamanin | تسعة و تمانين | tes3a u tamanin
electricity | Kahraba | كهربا | kahraba
eleven | e7da3sh | إحداعش | e7da3sh
else/second/ / other / else | taani | تاني | tAni
emberrassed | Ma7rooj | محروج | ma7rUj
employee | Muwazzaf | موظف | muwazaf
empty (object) | Faudi | فاضي | faudi
engineer | Muhandes | مهندس | muhandes
enjoy (plural) your trip! | Enbes6u bi-re7letkom | انبسطوا برحلتكم | enbes6u bi re7letkom
enjoy / be happy (command) | Enbese6 | انبسط | enbese6
enough / finished | 5alas | خلص | 5alas
entertain | Salli | سلّي | sali
entertaining / fun | beysalli | بيسلي | beisali
even | 7atta | حتى | 7ata
even if | 7atta law | حتى لو | 7ata law
evening | el-masa | المسا | almasa
every / each one | Kul 7ada | كل واحد | kul 7ada
everyday | Kul yoam | كل يوم | kul yoam
everything | Kul shee | كل شيء | kul shI
